Asic,Accounting/Finance,Age-Derived,All-Positions,Arizona State University,Avg. Tenure (before SanDisk),Job Hop,California State University,Computers,Degree Level,Degree Progam Rollup,Design,Director-VP-Mgmt,Engineer Type 1,Engineer Type,Engineer,Firmware,Gender,India,Indian Institute of Technology,Israel,Marketing/Sales,Number of Records,Other 1,Other 2,Other,Position level,Predict2,San Jose State University,SanDisk Position Change (from prior role),SanDisk Position,SanDisk Tenure,Santa Clara University,Software,Stanford University,Systems,Technion - Israel Institute of Technology,Total Experience,Total Other Job Experience,Total Other Jobs,Total SanDisk Jobs,Total SanDisk and Other Jobs,USA,USC,University Region,University of California,University of Illinois,University,Year,Id,Rf
0,0,23,Engineer-Design,0,0.00,0-1,0,0,Masters,Other,1,0,USA,Design,1,0,Men,0,0,0,0,1,0,0,0,IC,High,0,No Change,Engineer,0.95,0,0,0,0,0,3,2.25,0,2,2,1,1,Americas,0,0,USC,2013,10643,0.74
0,0,24,Engineer-Other,0,2.60,02-Mar,0,0,Masters,Computers,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,IC,Medium,0,No Change,Engineer,0.50,0,0,0,0,0,14,13.01,5,1,6,1,0,Americas,0,0,Other,2012,10647,0.41
0,0,30,Engineer-Other,0,2.65,02-Mar,0,0,Masters,Other,0,0,Other,Other,1,0,Men,0,0,0,0,1,1,1,0,IC,Medium,0,No Change,Engineer,5.50,0,0,0,0,0,16,10.60,4,1,5,0,0,APAC,0,0,Other,2012,10681,0.32
0,0,30,Engineer-Other,0,3.53,03-Apr,0,0,Masters,Other,0,0,Other,Other,1,0,Men,0,0,0,0,1,1,1,0,IC,Medium,0,No Change,Engineer,5.79,0,0,0,0,0,16,10.60,3,2,5,0,0,APAC,0,0,Other,2013,10681,0.32
0,0,24,Computers,0,1.23,01-Feb,0,1,Bachelors,Computers,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,Medium,0,No Change,IT,4.29,0,0,0,0,0,14,9.84,8,2,10,1,0,Americas,0,0,Other,2012,10692,0.23
0,0,24,Computers,0,1.23,01-Feb,0,1,Bachelors,Computers,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,Medium,0,No Change,IT,4.29,0,0,0,0,0,14,9.84,8,2,10,1,0,Americas,0,0,Other,2013,10692,0.23
0,0,22,Other,0,0.75,0-1,0,0,Doctorate,Other,0,0,USA,Other,0,0,Women,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,0.17,1,0,0,0,0,4,3.76,5,1,6,1,0,Americas,0,0,Santa Clara University,2012,10693,0.71
0,0,34,Engineer-Other,0,4.92,04-May,0,0,Bachelors,Engineering,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,IC,Medium,0,No Change,Engineer,0.50,0,0,0,0,0,10,9.84,2,1,3,1,0,Americas,0,0,Other,2012,10694,0.40
0,0,34,Engineer-Other,0,4.92,04-May,0,0,Bachelors,Engineering,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,IC,Medium,0,No Change,Engineer,0.50,0,0,0,0,0,10,9.84,2,1,3,1,0,Americas,0,0,Other,2013,10694,0.40
0,0,43,Other,0,2.14,02-Mar,0,0,Masters,Computers,0,0,USA,Other,0,0,Women,0,0,0,0,1,1,0,1,IC,Low,0,No Change,Other,12.96,0,0,0,0,0,30,17.10,8,2,10,1,0,Americas,0,0,Other,2012,10698,0.14
0,0,43,Other,0,2.14,02-Mar,0,0,Masters,Computers,0,0,USA,Other,0,0,Women,0,0,0,0,1,1,0,1,IC,Low,0,No Change,Other,12.96,0,0,0,0,0,30,17.10,8,2,10,1,0,Americas,0,0,Other,2013,10698,0.14
0,0,31,Engineer-Systems,0,2.29,02-Mar,0,0,Bachelors,Computers,0,0,Other,Systems,1,0,Men,0,0,0,0,1,0,1,0,IC,Medium,0,No Change,Engineer,1.58,0,0,0,1,0,11,9.18,4,1,5,0,0,APAC,0,0,Other,2012,10702,0.41
0,0,31,Engineer-Systems,0,2.29,02-Mar,0,0,Bachelors,Computers,0,0,Other,Systems,1,0,Men,0,0,0,0,1,0,1,0,IC,Medium,0,No Change,Engineer,1.58,0,0,0,1,0,11,9.18,4,1,5,0,0,APAC,0,0,Other,2013,10702,0.41
0,0,48,Engineer-Other,0,1.75,01-Feb,1,0,Bachelors,Engineering,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,Management,Medium,0,No Change,Engineer,4.09,0,0,0,0,0,8,3.50,2,2,4,1,0,Americas,0,0,California State University,2012,10716,0.16
0,1,28,Accounting/Finance,0,0.00,0-1,0,0,Bachelors,Other,0,0,USA,Other,0,0,Women,0,0,0,0,1,1,0,0,IC,Low,0,Promo,Finance,8.34,0,0,0,0,0,8,0.00,0,4,4,1,0,Americas,1,0,University of California,2012,10729,0.02
1,0,24,Engineer-ASIC,0,1.31,01-Feb,0,0,Masters,Engineering,0,0,USA,ASIC,1,0,Women,0,0,0,0,1,0,0,0,IC,Medium,0,Promo,Engineer,2.96,0,0,0,0,0,7,3.92,3,2,5,1,0,Americas,0,0,Other,2012,10731,0.15
1,0,24,Engineer-ASIC,0,1.31,01-Feb,0,0,Masters,Engineering,0,0,USA,ASIC,1,0,Women,0,0,0,0,1,0,0,0,IC,Medium,0,Promo,Engineer,2.96,0,0,0,0,0,7,3.92,3,2,5,1,0,Americas,0,0,Other,2013,10731,0.15
0,1,28,Accounting/Finance,0,3.92,03-Apr,0,0,Other,Computers,0,0,USA,Other,0,0,Women,0,0,0,0,1,1,0,0,IC,High,0,No Change,Finance,0.92,0,0,0,0,0,9,7.84,2,1,3,1,0,Americas,0,0,Other,2012,10788,0.52
0,0,44,Computers,0,3.71,03-Apr,0,1,Masters,Computers,0,0,India,Other,0,0,Men,1,0,0,0,1,1,0,0,IC,Medium,0,No Change,IT,5.17,0,0,0,0,0,20,14.85,4,1,5,0,0,India,0,0,Other,2012,10801,0.47
0,0,27,Engineer-Firmware,0,0.94,0-1,0,0,Masters,Engineering,0,0,USA,Firmware,1,1,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,2.76,0,0,0,0,0,7,3.75,4,1,5,1,0,Americas,0,0,Other,2012,10819,0.40
0,0,27,Engineer-Firmware,0,1.25,01-Feb,0,0,Masters,Engineering,0,0,USA,Firmware,1,1,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,4.79,0,0,0,0,0,9,3.75,3,2,5,1,0,Americas,0,0,Other,2012,10819,0.40
0,0,27,Engineer-Firmware,0,1.25,01-Feb,0,0,Masters,Engineering,0,0,USA,Firmware,1,1,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,4.79,0,0,0,0,0,9,3.75,3,2,5,1,0,Americas,0,0,Other,2013,10819,0.40
0,0,39,Other,0,2.27,02-Mar,0,0,Bachelors,Other,0,0,Other,Other,0,0,Women,0,0,0,0,1,1,1,1,Management,High,0,No Change,Other,1.75,0,0,0,0,0,13,11.34,5,1,6,0,0,APAC,0,0,Other,2012,10822,0.61
0,0,24,Engineer-Other,0,1.21,01-Feb,0,0,Masters,Engineering,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,IC,Medium,0,No Change,Engineer,1.59,0,0,0,0,0,4,2.42,2,1,3,1,1,Americas,0,0,USC,2012,10835,0.41
0,0,24,Engineer-Other,0,2.42,02-Mar,0,0,Masters,Engineering,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,IC,Medium,0,No Change,Engineer,2.62,0,0,0,0,0,5,2.42,1,2,3,1,1,Americas,0,0,USC,2013,10835,0.41
0,0,26,Engineer-Other,0,1.12,01-Feb,0,0,Masters,Engineering,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,IC,Medium,0,No Change,Engineer,0.41,0,0,0,0,0,10,10.08,9,1,10,1,0,Americas,0,0,Other,2012,10841,0.43
0,0,26,Engineer-Other,0,1.12,01-Feb,0,0,Masters,Engineering,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,IC,Medium,0,No Change,Engineer,0.41,0,0,0,0,0,10,10.08,9,1,10,1,0,Americas,0,0,Other,2013,10841,0.43
0,0,27,Engineer-Systems,0,0.88,0-1,0,0,Masters,Computers,0,0,USA,Systems,1,0,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,3.42,0,0,0,1,0,8,4.42,5,1,6,1,0,Americas,1,0,University of California,2012,10854,0.41
0,0,27,Engineer-Systems,0,1.11,01-Feb,0,0,Masters,Computers,0,0,USA,Systems,1,0,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,4.08,0,0,0,1,0,9,4.42,4,2,6,1,0,Americas,1,0,University of California,2012,10854,0.41
0,0,27,Engineer-Systems,0,1.11,01-Feb,0,0,Masters,Computers,0,0,USA,Systems,1,0,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,4.08,0,0,0,1,0,9,4.42,4,2,6,1,0,Americas,1,0,University of California,2013,10854,0.41
0,0,37,Other,0,2.50,02-Mar,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,Management,Medium,1,No Change,Other,5.17,0,0,0,0,0,15,10.01,4,1,5,1,0,Americas,0,0,San Jose State University,2012,10885,0.47
0,0,48,Marketing/Sales,0,2.53,02-Mar,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,Medium,0,No Change,Marketing/Sales,5.22,0,0,0,0,0,13,7.59,3,2,5,1,0,Americas,0,0,Other,2012,10891,0.24
0,0,48,Marketing/Sales,0,2.53,02-Mar,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,Medium,0,No Change,Marketing/Sales,5.22,0,0,0,0,0,13,7.59,3,2,5,1,0,Americas,0,0,Other,2013,10891,0.24
0,0,41,Engineer-Other,0,0.00,0-1,0,0,Bachelors,Engineering,0,0,Israel,Other,1,0,Women,0,0,1,0,1,1,0,0,Management,Low,0,Promo,Engineer,17.96,0,0,0,0,1,18,0.00,0,5,5,0,0,Israel,0,0,Technion - Israel Institute of Technology,2012,10895,0.01
0,0,41,Engineer-Other,0,0.00,0-1,0,0,Bachelors,Engineering,0,0,Israel,Other,1,0,Women,0,0,1,0,1,1,0,0,Management,Low,0,Promo,Engineer,16.42,0,0,0,0,1,16,0.00,0,4,4,0,0,Israel,0,0,Technion - Israel Institute of Technology,2013,10895,0.01
0,0,41,Engineer-Other,0,0.00,0-1,0,0,Bachelors,Engineering,0,0,Israel,Other,1,0,Women,0,0,1,0,1,1,0,0,Management,Low,0,Promo,Engineer,17.96,0,0,0,0,1,18,0.00,0,5,5,0,0,Israel,0,0,Technion - Israel Institute of Technology,2013,10895,0.01
0,0,21,Other,0,0.42,0-1,0,0,Bachelors,Business,0,0,USA,Other,0,0,Women,0,0,0,0,1,1,0,1,IC,High,1,No Change,Other,1.09,0,0,0,0,0,2,0.83,2,1,3,1,0,Americas,0,0,San Jose State University,2013,10902,0.65
0,0,30,Marketing/Sales,0,2.21,02-Mar,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,Medium,0,No Change,Marketing/Sales,3.50,0,0,0,0,0,8,4.42,2,1,3,1,0,Americas,0,0,Other,2012,10922,0.49
0,0,30,Marketing/Sales,0,2.21,02-Mar,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,Medium,0,No Change,Marketing/Sales,3.50,0,0,0,0,0,8,4.42,2,1,3,1,0,Americas,0,0,Other,2013,10922,0.49
0,0,30,Marketing/Sales,0,4.42,04-May,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,Medium,0,No Change,Marketing/Sales,4.04,0,0,0,0,0,8,4.42,1,2,3,1,0,Americas,0,0,Other,2013,10922,0.49
0,0,36,Marketing/Sales,0,1.31,01-Feb,0,0,Masters,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,Low,0,Lateral,Marketing/Sales,3.00,0,0,0,0,0,11,7.84,6,3,9,1,0,Americas,0,0,Other,2012,10924,0.08
0,0,36,Marketing/Sales,0,1.31,01-Feb,0,0,Masters,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,Low,0,Lateral,Marketing/Sales,3.00,0,0,0,0,0,11,7.84,6,3,9,1,0,Americas,0,0,Other,2013,10924,0.08
0,0,26,Marketing/Sales,0,1.61,01-Feb,0,0,Masters,Other,0,0,Other,Other,0,0,Women,0,0,0,1,1,1,1,0,Management,High,0,No Change,Marketing/Sales,0.50,0,0,0,0,0,13,12.84,8,1,9,0,0,EMEA,0,0,Other,2012,10925,0.67
0,0,39,Engineer-Other,0,6.09,06-Jul,0,0,Bachelors,Engineering,0,0,Other,Other,1,0,Missing,0,0,0,0,1,1,1,0,Management,Low,0,Promo,Engineer,11.30,0,0,0,0,0,17,6.09,1,2,3,0,0,APAC,0,0,Other,2012,10941,0.09
0,0,39,Engineer-Other,0,6.09,06-Jul,0,0,Bachelors,Engineering,0,0,Other,Other,1,0,Missing,0,0,0,0,1,1,1,0,Management,Low,0,Promo,Engineer,11.30,0,0,0,0,0,17,6.09,1,2,3,0,0,APAC,0,0,Other,2013,10941,0.09
0,0,42,Other,0,2.31,02-Mar,0,0,Masters,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,Director,Low,0,No Change,Other,11.09,1,0,0,0,0,18,6.92,3,5,8,1,0,Americas,0,0,Santa Clara University,2013,10943,0.00
0,0,31,Marketing/Sales,0,0.00,0-1,0,0,Bachelors,Other,0,0,USA,Other,0,0,Women,0,0,0,1,1,1,0,0,Management,Low,0,Promo,Marketing/Sales,8.88,0,0,0,0,0,9,0.00,0,5,5,1,0,Americas,0,0,Other,2012,10944,0.00
0,0,31,Marketing/Sales,0,0.00,0-1,0,0,Bachelors,Other,0,0,USA,Other,0,0,Women,0,0,0,1,1,1,0,0,Management,Low,0,Promo,Marketing/Sales,8.88,0,0,0,0,0,9,0.00,0,5,5,1,0,Americas,0,0,Other,2013,10944,0.00
0,0,42,Other,0,3.34,03-Apr,0,0,Doctorate,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,VP,High,0,No Change,Other,1.67,0,0,1,0,0,22,20.01,6,1,7,1,0,Americas,0,0,Stanford University,2012,10954,0.58
0,0,42,Other,0,3.34,03-Apr,0,0,Doctorate,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,VP,High,0,No Change,Other,1.67,0,0,1,0,0,22,20.01,6,1,7,1,0,Americas,0,0,Stanford University,2013,10954,0.58
0,0,44,Marketing/Sales,0,3.54,03-Apr,0,0,Bachelors,Other,0,0,USA,Other,0,0,Women,0,0,0,1,1,1,0,0,IC,High,0,No Change,Marketing/Sales,0.92,0,0,0,0,0,19,17.68,5,1,6,1,0,Americas,0,0,Other,2012,10961,0.63
0,0,44,Marketing/Sales,0,3.54,03-Apr,0,0,Bachelors,Other,0,0,USA,Other,0,0,Women,0,0,0,1,1,1,0,0,IC,High,0,No Change,Marketing/Sales,0.92,0,0,0,0,0,19,17.68,5,1,6,1,0,Americas,0,0,Other,2013,10961,0.63
0,1,26,Accounting/Finance,0,5.92,04-May,0,0,Masters,Other,0,0,USA,Other,0,0,Women,0,0,0,0,1,1,0,0,Management,Medium,1,No Change,Finance,1.67,0,0,0,0,0,8,5.92,1,1,2,1,0,Americas,0,0,San Jose State University,2013,10962,0.47
0,0,29,Engineer-Other,0,0.58,0-1,0,0,Doctorate,Other,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,IC,Low,0,Promo,Engineer,6.71,0,0,0,0,0,7,0.58,1,2,3,1,0,Americas,0,0,Other,2012,10971,0.13
0,0,29,Engineer-Other,0,0.58,0-1,0,0,Doctorate,Other,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,IC,Low,0,Promo,Engineer,6.71,0,0,0,0,0,7,0.58,1,2,3,1,0,Americas,0,0,Other,2013,10971,0.13
0,0,38,Other,0,2.46,02-Mar,0,0,Masters,Other,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,1,Management,Medium,0,No Change,Other,4.00,0,0,0,0,0,14,9.84,4,1,5,0,0,Americas,0,0,Other,2013,10972,0.49
0,0,30,Other,0,1.96,01-Feb,0,0,Doctorate,Other,0,0,USA,Other,0,0,Women,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,0.33,0,0,0,0,0,8,7.84,4,1,5,1,0,Americas,1,0,University of California,2013,10979,0.68
0,0,28,Engineer-Systems,1,0.83,0-1,0,0,Masters,Engineering,0,0,USA,Systems,1,0,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,2.00,0,0,0,1,0,5,2.50,3,1,4,1,0,Americas,0,0,Arizona State University,2012,10981,0.42
0,0,28,Engineer-Systems,1,0.83,0-1,0,0,Masters,Engineering,0,0,USA,Systems,1,0,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,2.00,0,0,0,1,0,5,2.50,3,1,4,1,0,Americas,0,0,Arizona State University,2013,10981,0.42
0,0,28,Engineer-Systems,1,2.50,02-Mar,0,0,Masters,Engineering,0,0,USA,Systems,1,0,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,2.80,0,0,0,1,0,5,2.50,1,3,4,1,0,Americas,0,0,Arizona State University,2013,10981,0.42
0,0,52,Engineer-Firmware,0,2.38,02-Mar,0,0,Masters,Engineering,0,0,USA,Firmware,1,1,Women,0,0,0,0,1,0,0,0,Management,Medium,0,No Change,Engineer,2.09,0,0,0,0,0,19,16.67,7,1,8,1,0,Americas,0,0,Other,2012,10983,0.43
0,0,52,Engineer-Firmware,0,2.38,02-Mar,0,0,Masters,Engineering,0,0,USA,Firmware,1,1,Women,0,0,0,0,1,0,0,0,Management,Medium,0,No Change,Engineer,2.09,0,0,0,0,0,19,16.67,7,1,8,1,0,Americas,0,0,Other,2013,10983,0.43
0,0,25,Engineer-Other,0,0.33,0-1,0,0,Masters,Business,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,IC,Medium,0,No Change,Engineer,4.04,0,0,0,0,0,5,1.00,3,2,5,1,1,Americas,0,0,USC,2013,10992,0.15
0,0,27,Other,0,0.46,0-1,0,0,Bachelors,Other,0,0,USA,Other,0,0,Women,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,1.33,0,0,0,0,0,4,2.74,6,1,7,1,0,Americas,1,0,University of California,2013,10999,0.68
0,0,31,Other,0,0.00,0-1,0,0,Doctorate,Other,0,0,USA,Other,0,0,Women,0,0,0,0,1,1,0,1,IC,Medium,0,No Change,Other,7.17,0,0,0,0,0,7,0.00,0,1,1,1,0,Americas,0,0,Other,2012,11005,0.46
0,0,31,Other,0,0.00,0-1,0,0,Doctorate,Other,0,0,USA,Other,0,0,Women,0,0,0,0,1,1,0,1,IC,Medium,0,No Change,Other,7.17,0,0,0,0,0,7,0.00,0,1,1,1,0,Americas,0,0,Other,2013,11005,0.46
0,0,20,Engineer-Systems,0,1.44,01-Feb,0,0,Masters,Computers,0,0,USA,Systems,1,0,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,3.67,0,0,0,1,0,8,4.33,3,1,4,1,0,Americas,0,0,Other,2012,11021,0.37
0,0,20,Engineer-Systems,0,1.44,01-Feb,0,0,Masters,Computers,0,0,USA,Systems,1,0,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,3.67,0,0,0,1,0,8,4.33,3,1,4,1,0,Americas,0,0,Other,2013,11021,0.37
0,1,42,Accounting/Finance,0,4.88,04-May,0,0,Bachelors,Other,0,0,Other,Other,0,0,Women,0,0,0,0,1,1,1,0,Management,Medium,0,No Change,Finance,4.92,0,0,0,0,0,15,9.75,2,1,3,0,0,APAC,0,0,Other,2013,11026,0.45
0,0,24,Engineer-Systems,0,0.58,0-1,0,0,Masters,Engineering,0,0,USA,Systems,1,0,Missing,0,0,0,0,1,0,0,0,IC,Medium,1,Promo,Engineer,2.59,0,0,0,1,0,3,0.58,1,2,3,1,0,Americas,0,0,San Jose State University,2012,11038,0.16
0,0,24,Engineer-Systems,0,0.58,0-1,0,0,Masters,Engineering,0,0,USA,Systems,1,0,Missing,0,0,0,0,1,0,0,0,IC,Medium,1,Promo,Engineer,2.59,0,0,0,1,0,3,0.58,1,2,3,1,0,Americas,0,0,San Jose State University,2013,11038,0.16
0,0,24,Engineer-Systems,0,0.00,0-1,0,0,Masters,Engineering,0,0,USA,Systems,1,0,Missing,0,0,0,0,1,0,0,0,IC,Medium,1,Promo,Engineer,3.47,0,0,0,1,0,4,0.58,0,3,3,1,0,Americas,0,0,San Jose State University,2013,11038,0.16
0,0,32,Engineer-Software,0,1.88,01-Feb,0,0,Bachelors,Computers,0,0,USA,Software,1,0,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,1.66,0,1,0,0,0,13,11.26,6,1,7,1,0,Americas,0,0,Other,2012,11039,0.41
0,0,32,Engineer-Software,0,1.88,01-Feb,0,0,Bachelors,Computers,0,0,USA,Software,1,0,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,1.66,0,1,0,0,0,13,11.26,6,1,7,1,0,Americas,0,0,Other,2013,11039,0.41
0,0,46,Computers,0,2.12,02-Mar,0,1,Masters,Engineering,0,0,India,Other,0,0,Women,1,0,0,0,1,1,0,0,IC,High,0,No Change,IT,1.33,0,0,0,0,0,18,16.92,8,1,9,0,0,India,0,0,Other,2013,11040,0.71
0,0,28,Marketing/Sales,0,3.75,03-Apr,0,0,Bachelors,Computers,0,0,USA,Other,0,0,Women,0,0,0,1,1,1,0,0,Director,High,0,No Change,Marketing/Sales,0.00,0,0,0,0,0,15,15.01,4,1,4,1,0,Americas,0,0,Other,2012,11042,0.79
0,0,28,Marketing/Sales,0,7.50,07-Aug,0,0,Bachelors,Computers,0,0,USA,Other,0,0,Women,0,0,0,1,1,1,0,0,Director,High,0,No Change,Marketing/Sales,0.54,0,0,0,0,0,16,15.01,2,2,4,1,0,Americas,0,0,Other,2013,11042,0.79
0,0,51,Engineer-Firmware,0,2.46,02-Mar,1,0,Bachelors,Computers,0,0,USA,Firmware,1,1,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,1.58,0,0,0,0,0,21,19.68,8,1,9,1,0,Americas,0,0,California State University,2012,11047,0.43
0,0,51,Engineer-Firmware,0,2.46,02-Mar,1,0,Bachelors,Computers,0,0,USA,Firmware,1,1,Men,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,1.58,0,0,0,0,0,21,19.68,8,1,9,1,0,Americas,0,0,California State University,2013,11047,0.43
1,0,30,Engineer-ASIC,0,2.17,02-Mar,0,0,Bachelors,Engineering,0,0,India,ASIC,1,0,Men,1,1,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,1.25,0,0,0,0,0,8,6.51,3,1,4,0,0,India,0,0,Indian Institute of Technology,2012,11061,0.41
1,0,30,Engineer-ASIC,0,2.17,02-Mar,0,0,Bachelors,Engineering,0,0,India,ASIC,1,0,Men,1,1,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,1.25,0,0,0,0,0,8,6.51,3,1,4,0,0,India,0,0,Indian Institute of Technology,2013,11061,0.41
0,0,29,Other,0,2.08,02-Mar,0,0,Bachelors,Engineering,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,0.00,0,0,0,0,0,8,8.00,5,1,5,1,0,Americas,0,0,Other,2012,11062,0.81
0,0,32,Engineer-Systems,0,2.34,02-Mar,0,0,Bachelors,Engineering,0,0,USA,Systems,1,0,Women,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,5.59,0,0,0,1,0,8,2.34,1,1,2,1,0,Americas,1,0,University of California,2012,11065,0.33
0,0,32,Engineer-Systems,0,2.34,02-Mar,0,0,Bachelors,Engineering,0,0,USA,Systems,1,0,Women,0,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,5.59,0,0,0,1,0,8,2.34,1,1,2,1,0,Americas,1,0,University of California,2013,11065,0.33
